id,airport_ref,airport_ident,length_ft,width_ft,surface,le_ident,le_elevation_ft,le_heading_degT,he_ident,he_elevation_ft,he_heading_degT
244937,18720,K3M8,5144,80,ASP,1,230,7,19,237,187
243854,18721,K3M9,3829,50,ASP,3,197,37.5,21,235,217.5
244326,18722,K3MY,3600,60,ASPH-G,18,786,175,36,774,355
246019,18723,K3N6,3594,50,ASP,6,63,44.2,24,86,224.2
243830,18724,K3O1,3200,60,ASP,18,75,195.7,36,75,15.7
240537,18725,K3O3,3003,60,ASP,17,1133,174,35,1143,354
245471,18726,K3O4,5017,130,CON,17,,179,35,,359
240528,18728,K3O9,3925,60,CON,17,,174,35,,354
239857,18729,K3P3,3500,60,ASP,9,2408,103.6,27,2408,283.6
242670,18731,K3R2,4300,150,CON,4,,44.8,22,,224.9
242671,18731,K3R2,4000,150,CON,13,,135.1,31,,315.2
240440,18732,K3R4,1800,75,GRS,1,,23.7,19,,203.7
240441,18732,K3R4,4000,75,ASP,12,,121.1,30,,301.1
242091,18733,K3R7,5000,75,ASP,8,,78.1,26,,258.1
242092,18733,K3R7,3598,75,ASP,13,,134.9,31,,314.9
242093,18733,K3R7,2000,150,GRS,17,,180,35,,360
244395,18734,K3R9,3930,70,ASP,16,882,168.8,34,909,348.8
241947,18735,K3RC,3650,75,ASP,9,1156,90,27,1156,270
241948,18735,K3RC,2500,100,GRS,18,,174,36,,354
242373,18736,K3S4,4807,75,ASP,18,,197,36,,17
245288,18737,K3S8,3999,75,ASP,12,1095,142,30,1126,322
241212,18738,K3S9,3500,60,CON,7,2908,90,25,2904,270
244527,18739,K3SQ,3451,49,ASP,9,442,90.8,27,442,270.8
244528,18739,K3SQ,2310,103,GRE,15,440,153.2,33,442,333.2
244529,18739,K3SQ,2145,100,GRE,18,440,180,36,442,360
240804,18740,K3T3,3300,60,ASP,8,952,84,26,967,264
243774,18741,K3T5,5001,75,ASP,16,308,162.5,34,322,342.5
245218,18742,K3TR,3315,50,ASP,3,737,33.8,21,743,213.8
245219,18742,K3TR,4100,75,ASP,14,742,146,32,750,326
241098,18743,K3U3,4515,60,ASP,4,5030,56.3,22,4985,236.3
241099,18743,K3U3,6011,75,ASP,16,4994,180,34,5029,360
240282,18744,K3U4,3830,95,GVL,13,,147,31,,327
